cycles,num_configs,main_mean,main_std,main_range,main_cv,fusion_mean,fusion_std,fusion_range,fusion_cv,diff_mean,diff_std,diff_range,diff_cv
383.0,16,1.2866239375,0.19368898689409908,0.490178,15.054048137053186,0.7957756874999999,0.17826013972533467,0.4441959999999999,22.400802452931774,0.49084825,0.024385146663491713,0.06714200000000003,4.967960395802922
389.0,16,1.4565904375,0.1280129738492516,0.6213390000000001,8.788535922902597,0.9610045625,0.08452245134950338,0.354375,8.795218529412901,0.495585875,0.0727335366818499,0.29848199999999997,14.676273144760208
413.0,16,1.5347210625,0.11503654212435786,0.4985709999999999,7.495599359076227,1.0212666875,0.10358173782781002,0.4071429999999999,10.142476896154513,0.513454375,0.06172176126010988,0.21428499999999984,12.020885255892479
509.0,16,1.5940178125,0.16535889846400514,0.619821,10.373717104494725,1.0944196874999998,0.15139544210608138,0.562857,13.833398999968319,0.49959812500000006,0.04382344960235329,0.14714300000000008,8.771740206661761
893.0,16,1.856238875,0.26118061096027656,0.8199110000000003,14.070420271759287,1.2497264375000001,0.2211722531226039,0.664286,17.697653381250795,0.6065124375,0.10308165559333289,0.39009099999999997,16.995802430404883
1535.0,8,1.68911825,0.2552368905584155,0.7416069999999999,15.110658508272909,1.098404,0.20379033840830488,0.6055349999999999,18.553313572083212,0.59071425,0.10360800898958399,0.23133800000000004,17.53944635491424
1559.0,8,1.761093625,0.3135229276883396,0.9727679999999999,17.802740481122324,1.133582625,0.19533238443515968,0.6043740000000001,17.231420112420977,0.6275109999999999,0.13231505906952318,0.3683939999999998,21.085695560639287
1655.0,8,1.884631625,0.29720331286220186,0.7843749999999998,15.769835808746013,1.2858595,0.22427908062946936,0.6599110000000001,17.441958521087987,0.598772125,0.10547413728281242,0.3214279999999998,17.615071390107286
2039.0,8,2.33033475,0.3333026202051866,0.8928580000000002,14.302778611750375,1.664955125,0.28349059219333017,0.7843750000000003,17.026920902347452,0.6653796249999999,0.14574152287225825,0.4530339999999997,21.90351453461748
3575.0,8,3.261986625,0.5621066230559916,1.4386599999999996,17.232033348879582,2.4444755000000002,0.714409089753403,1.8070530000000002,29.225455102880062,0.817511125,0.2851488981389184,0.6086610000000001,34.88012449236314
