name,fusion_duration,scale_sim_total_cycles
matmul_2x2x2,0.595625,383.0
matmul_2x2x8,0.594375,383.0
matmul_2x2x32,0.595714,383.0
matmul_2x2x128,0.612768,383.0
matmul_2x2x512,1.015714,1535.0
matmul_2x8x2,0.595625,383.0
matmul_2x8x8,0.914285,383.0
matmul_2x8x32,0.914197,383.0
matmul_2x8x128,0.935804,383.0
matmul_2x8x512,0.991429,1535.0
matmul_2x32x2,0.611429,383.0
matmul_2x32x8,0.928571,383.0
matmul_2x32x32,0.949911,383.0
matmul_2x32x128,0.951429,383.0
matmul_2x32x512,1.06,1535.0
matmul_2x128x2,0.612767,383.0
matmul_2x128x8,0.921429,383.0
matmul_2x128x32,0.959911,383.0
matmul_2x128x128,1.038571,383.0
matmul_2x128x512,1.56991,1535.0
matmul_2x512x2,0.964375,1535.0
matmul_2x512x8,0.981429,1535.0
matmul_2x512x32,1.01009,1535.0
matmul_2x512x128,1.194285,1535.0
matmul_2x512x512,1.554286,6143.0
matmul_8x2x2,0.711429,389.0
matmul_8x2x8,0.92,389.0
matmul_8x2x32,0.918572,389.0
matmul_8x2x128,0.928571,389.0
matmul_8x2x512,0.98134,1559.0
matmul_8x8x2,1.042857,389.0
matmul_8x8x8,0.944286,389.0
matmul_8x8x32,0.942858,389.0
matmul_8x8x128,1.065804,389.0
matmul_8x8x512,0.998661,1559.0
matmul_8x32x2,1.041518,389.0
matmul_8x32x8,0.941429,389.0
matmul_8x32x32,0.95866,389.0
matmul_8x32x128,0.961428,389.0
matmul_8x32x512,1.092946,1559.0
matmul_8x128x2,1.042858,389.0
matmul_8x128x8,0.944196,389.0
matmul_8x128x32,0.960089,389.0
matmul_8x128x128,1.051518,389.0
matmul_8x128x512,1.585714,1559.0
matmul_8x512x2,1.085715,1559.0
matmul_8x512x8,1.091428,1559.0
matmul_8x512x32,1.029911,1559.0
matmul_8x512x128,1.202946,1559.0
matmul_8x512x512,1.717232,6239.0
matmul_32x2x2,0.727232,413.0
matmul_32x2x8,0.937232,413.0
matmul_32x2x32,0.942857,413.0
matmul_32x2x128,0.937143,413.0
matmul_32x2x512,1.077143,1655.0
matmul_32x8x2,1.134375,413.0
matmul_32x8x8,1.04991,413.0
matmul_32x8x32,1.11991,413.0
matmul_32x8x128,0.961518,413.0
matmul_32x8x512,1.342857,1655.0
matmul_32x32x2,1.101429,413.0
matmul_32x32x8,1.099911,413.0
matmul_32x32x32,1.02,413.0
matmul_32x32x128,1.015804,413.0
matmul_32x32x512,1.187143,1655.0
matmul_32x128x2,1.091428,413.0
matmul_32x128x8,1.104286,413.0
matmul_32x128x32,1.022857,413.0
matmul_32x128x128,1.074375,413.0
matmul_32x128x512,1.737054,1655.0
matmul_32x512x2,1.158571,1655.0
matmul_32x512x8,1.165625,1655.0
matmul_32x512x32,1.135715,1655.0
matmul_32x512x128,1.482768,1655.0
matmul_32x512x512,1.704286,6623.0
matmul_128x2x2,0.727143,509.0
matmul_128x2x8,0.934286,509.0
matmul_128x2x32,0.957143,509.0
matmul_128x2x128,1.048572,509.0
matmul_128x2x512,1.571339,2039.0
matmul_128x8x2,1.042857,509.0
matmul_128x8x8,1.161339,509.0
matmul_128x8x32,0.95991,509.0
matmul_128x8x128,1.048482,509.0
matmul_128x8x512,1.591517,2039.0
matmul_128x32x2,1.29,509.0
matmul_128x32x8,1.09991,509.0
matmul_128x32x32,1.214196,509.0
matmul_128x32x128,1.077054,509.0
matmul_128x32x512,1.971428,2039.0
matmul_128x128x2,1.229911,509.0
matmul_128x128x8,1.231518,509.0
matmul_128x128x32,1.248483,509.0
matmul_128x128x128,1.239911,509.0
matmul_128x128x512,2.22,2039.0
matmul_128x512x2,1.442767,2039.0
matmul_128x512x8,1.435625,2039.0
matmul_128x512x32,1.457054,2039.0
matmul_128x512x128,1.629911,2039.0
matmul_128x512x512,2.628571,8159.0
matmul_512x2x2,1.078482,893.0
matmul_512x2x8,0.982857,893.0
matmul_512x2x32,1.028482,893.0
matmul_512x2x128,1.2,893.0
matmul_512x2x512,1.545804,3575.0
matmul_512x8x2,1.082857,893.0
matmul_512x8x8,1.087143,893.0
matmul_512x8x32,1.03,893.0
matmul_512x8x128,1.204285,893.0
matmul_512x8x512,1.555714,3575.0
matmul_512x32x2,1.157143,893.0
matmul_512x32x8,1.167142,893.0
matmul_512x32x32,1.362857,893.0
matmul_512x32x128,1.312858,893.0
matmul_512x32x512,1.748572,3575.0
matmul_512x128x2,1.575714,893.0
matmul_512x128x8,1.458571,893.0
matmul_512x128x32,1.620089,893.0
matmul_512x128x128,1.647143,893.0
matmul_512x128x512,3.022768,3575.0
matmul_512x512x2,2.782947,3575.0
matmul_512x512x8,2.765714,3575.0
matmul_512x512x32,2.781428,3575.0
matmul_512x512x128,3.352857,3575.0
matmul_512x512x512,6.899911,14303.0
